#-----------------------------------------------------------
# xsim v2019.1 (64-bit)
# SW Build 2552052 on Fri May 24 14:49:42 MDT 2019
# IP Build 2548770 on Fri May 24 18:01:18 MDT 2019
# Start of session at: Mon Oct  3 21:56:34 2022
# Process ID: 86964
# Current directory: C:/Users/faste/Desktop/AMBA AXI/codes.practice/axi_stream_tea/sim.bmp/xsim
# Command line: xsim.exe -mode tcl -source {xsim.dir/top/xsim_script.tcl}
# Log file: C:/Users/faste/Desktop/AMBA AXI/codes.practice/axi_stream_tea/sim.bmp/xsim/xsim.log
# Journal file: C:/Users/faste/Desktop/AMBA AXI/codes.practice/axi_stream_tea/sim.bmp/xsim\xsim.jou
#-----------------------------------------------------------
source xsim.dir/top/xsim_script.tcl
# xsim {top} -autoloadwcfg -tclbatch {xsim_run.tcl}
Vivado Simulator 2019.1
Time resolution is 1 ns
source xsim_run.tcl
## run all
bmp_file_header:42:4d:36:84:03:00:00:00:00:00:36:00:00:00
bmp_img_header:28:00:00:00:40:01:00:00:f0:00:00:00:01:00:18:00:00:00:00:00:00:84:03:00:c4:0e:00:00:c4:0e:00:00:00:00:00:00:00:00:00:00
bfOffBits  =          54 offset ot bitmap data
biWidth    =         320 image width          
biHeight   =         240 image heigh          
biBitCount =          24 num of bits per pixel
biSizeImage=      230400 size of image data   
14090 OK:   58   decryption after encryption check
14110 OK:   59   decryption after encryption check
14130 OK:   60   decryption after encryption check
14150 OK:   61   decryption after encryption check
14170 OK:   62   decryption after encryption check
14190 OK:   63   decryption after encryption check
14210 OK:   64   decryption after encryption check
14230 OK:   65   decryption after encryption check
14250 OK:   66   decryption after encryption check
14270 OK:   67   decryption after encryption check
14290 OK:   68   decryption after encryption check
14310 OK:   69   decryption after encryption check
14330 OK:   70   decryption after encryption check
14350 OK:   71   decryption after encryption check
14370 OK:   72   decryption after encryption check
14390 OK:   73   decryption after encryption check
14410 OK:   74   decryption after encryption check
14430 OK:   75   decryption after encryption check
14450 OK:   76   decryption after encryption check
14470 OK:   77   decryption after encryption check
14490 OK:   78   decryption after encryption check
14510 OK:   79   decryption after encryption check
14530 OK:   80   decryption after encryption check
14550 OK:   81   decryption after encryption check
14570 OK:   82   decryption after encryption check
14590 OK:   83   decryption after encryption check
14610 OK:   84   decryption after encryption check
14630 OK:   85   decryption after encryption check
14650 OK:   86   decryption after encryption check
14670 OK:   87   decryption after encryption check
14690 OK:   88   decryption after encryption check
14710 OK:   89   decryption after encryption check
14730 OK:   90   decryption after encryption check
14750 OK:   91   decryption after encryption check
14770 OK:   92   decryption after encryption check
14790 OK:   93   decryption after encryption check
14810 OK:   94   decryption after encryption check
14830 OK:   95   decryption after encryption check
14850 OK:   96   decryption after encryption check
14870 OK:   97   decryption after encryption check
14890 OK:   98   decryption after encryption check
14910 OK:   99   decryption after encryption check
14930 OK:  100   decryption after encryption check
14950 OK:  101   decryption after encryption check
14970 OK:  102   decryption after encryption check
14990 OK:  103   decryption after encryption check
15010 OK:  104   decryption after encryption check
15030 OK:  105   decryption after encryption check
15050 OK:  106   decryption after encryption check
15070 OK:  107   decryption after encryption check
15090 OK:  108   decryption after encryption check
15110 OK:  109   decryption after encryption check
15130 OK:  110   decryption after encryption check
15150 OK:  111   decryption after encryption check
15170 OK:  112   decryption after encryption check
15190 OK:  113   decryption after encryption check
15210 OK:  114   decryption after encryption check
15230 OK:  115   decryption after encryption check
15250 OK:  116   decryption after encryption check
15270 OK:  117   decryption after encryption check
